Field	Type	Null	Key	Default	Extra
ORDER_ID	varchar(50)	NO	PRI	NULL	
BUYER_ID	varchar(50)	NO	MUL	NULL	
GRAND_TOTAL	decimal(15,2)	NO		NULL	
STATUS	varchar(20)	YES		PENDING	
SHIPPING_ADDRESS	varchar(500)	YES		NULL	
TOTAL_AMOUNT	decimal(15,2)	YES		0.00	
TAX_AMOUNT	decimal(15,2)	YES		0.00	
DELIVERY_CHARGE	decimal(15,2)	YES		0.00	
ORDER_DATE	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
